openlibrary_id,work_qid
OL1955946W,Q300370
OL257939W,Q300370
OL46178W,Q377230
OL893415W,Q190192
OL893527W,Q190192
OL17408W,Q212718
OL46395W,Q389750
OL60589W,Q356107
OL84115W,Q151550
OL15544038W,Q302026
OL59858W,Q132062
OL98459W,Q265954
OL98474W,Q265954
OL893508W,Q282814
OL81618W,Q149552
OL11169894W,Q74362
OL8368435W,Q74362
OL17409W,Q223784
OL257947W,Q135165
OL28996W,Q129929
OL15000756W,Q92630
OL115338W,Q137536
OL92475W,Q277911
OL58707W,Q546785
OL60931W,Q538742
OL1932394W,Q519935
OL1840413W,Q516848
OL38494W,Q534975
OL38499W,Q543562
OL59740W,Q492207
OL40873W,Q1140295
OL10587704W,Q589959
OL14871979W,Q1150125
OL53404W,Q586831
OL2172490W,Q1138582
OL1921526W,Q598315
OL47520W,Q1099716
OL8718786W,Q1143215
OL1960643W,Q1132953
OL17736913W,Q579744
OL8339320W,Q1078499
OL56903W,Q594567
OL453733W,Q595128
OL2798254W,Q964451
OL510435W,Q471741
OL16540W,Q2468406
OL14931577W,Q472368
OL17383W,Q472368
OL59863W,Q467720
OL453936W,Q1052459
OL273080W,Q2502043
OL5724831W,Q1068060
OL1882193W,Q1031337
OL453907W,Q2469019
OL46347W,Q1050014
OL1975712W,Q471679
OL59684W,Q1010653
OL56905W,Q2419894
OL28140680M,Q2502176
OL58713W,Q2502176
OL14911626W,Q487364
OL56829W,Q2441281
OL20263747M,Q1059371
OL2861525M,Q1059371
OL35699810M,Q2421826
OL1882190W,Q1031337
OL1960491W,Q2491758
OL4191364W,Q3404279
OL73356W,Q3207217
OL14871972W,Q3205411
OL2626642W,Q3203920
OL11294336W,Q3203368
OL27103014M,Q3205133
OL56889W,Q3305528
OL16031679W,Q3204463
OL14858401W,Q3367818
OL3332542W,Q3202654
OL3521962W,Q3204648
OL1975718W,Q3207044
OL84296W,Q3205839
OL15056590W,Q3400801
OL16519W,Q3203183
OL1860110W,Q3314300
OL15343698W,Q3205842
OL15800512W,Q3305686
OL78622W,Q3412968
OL8131818M,Q3203913
OL3782957M,Q3363230
OL16688699W,Q5036850
OL9645569M,Q4880455
OL7829987M,Q4863413
OL2723325W,Q4984887
OL2732495W,Q5098442
OL8112309W,Q4957980
OL16516W,Q2252121
OL17334799M,Q4920715
OL16947555W,Q4791614
OL16508W,Q2246747
OL3924625W,Q4941511
OL5724829W,Q5063196
OL1833527W,Q5099787
OL1863615W,Q4928148
OL461302W,Q2240456
OL16117275W,Q5019811
OL1847175W,Q4880453
OL17730396W,Q5097878
OL7534877M,Q2252121
OL4102706W,Q5306348
OL1860112W,Q5256189
OL15836204W,Q5436486
OL3942392W,Q5302472
OL273048W,Q5243636
OL16491W,Q5123535
OL15105190W,Q5120959
OL84110W,Q5249488
OL26798637M,Q5245583
OL14871197W,Q5377672
OL269775W,Q5348867
OL72842W,Q5373863
OL5734713W,Q5330486
OL17105170W,Q5265228
OL271163W,Q5406934
OL15692668W,Q5422666
OL17731154W,Q5162401
OL4001685W,Q5327095
OL14871189W,Q5174346
OL73354W,Q5191354
OL993504M,Q5368262
OL2684721W,Q5173054
OL5841566W,Q5636343
OL11377554W,Q5450418
OL25556914M,Q5522495
OL16936319W,Q5447634
OL14912494W,Q5460012
OL2753428W,Q5577739
OL60576W,Q5944644
OL2465684W,Q5643614
OL24593709M,Q5936015
OL81653W,Q5472993
OL7117373W,Q5641738
OL100769W,Q5441458
OL1977560W,Q5505649
OL1888047W,Q5695215
OL3451720M,Q5482407
OL24283129M,Q5441171
OL59829W,Q717326
OL27253W,Q663215
OL84113W,Q610680
OL27258W,Q662029
OL17267881W,Q607112
OL20008029W,Q607276
OL19347908W,Q607511
OL679348W,Q1168659
OL13981W,Q664034
OL119430W,Q603645
OL14958135W,Q603645
OL10587218W,Q651682
OL60924W,Q651682
OL8718787W,Q602216
OL15542343W,Q622647
OL8698136W,Q1170644
OL2071477W,Q600821
OL81613W,Q602288
OL2172372W,Q605249
OL56908W,Q676256
OL100768W,Q684818
OL1963289W,Q1171420
OL461306W,Q3210024
OL73386W,Q3208081
OL8132429M,Q3207474
OL56910W,Q2665745
OL59727W,Q1213656
OL14871898W,Q3207442
OL15331302W,Q1190888
OL1963317W,Q2656138
OL56834W,Q2722309
OL447387W,Q3209704
OL1963305W,Q2725656
OL59697W,Q2678988
OL2172402W,Q1193211
OL77844W,Q1193680
OL14858392W,Q2719299
OL14858398W,Q2719299
OL35714910M,Q3211069
OL56895W,Q2703898
OL10587701W,Q2652159
OL58706W,Q3209843
OL101943W,Q3209683
OL14871970W,Q3209610
OL15859736W,Q3209610
OL1921494W,Q3210153
OL59705W,Q2703133
OL35618W,Q3211325
OL2172392W,Q1189364
OL59834W,Q2623688
OL2172516W,Q1198489
OL166482W,Q3209114
OL166491W,Q3213011
OL27329922M,Q3213011
OL1860113W,Q3491166
OL549274W,Q3497490
OL2741969M,Q3489256
OL14871725W,Q3212608
OL7526210M,Q3224465
OL9007966M,Q3226029
OL166495W,Q3223113
OL35338377M,Q3223113
OL16504W,Q3212201
OL17392W,Q3222682
OL101950W,Q3227984
OL21795403M,Q3221113
OL10490624M,Q3221351
OL3521964W,Q3214259
OL1860101W,Q3227494
OL6904244W,Q3224655
OL81662W,Q3459064
OL12510158M,Q3222431
OL27306080M,Q3231336
OL10532469W,Q3505071
OL2732497W,Q3224638
OL8131901M,Q3213211
OL23747W,Q3224088
OL1954970W,Q3223347
OL21994448M,Q3227879
OL3521965W,Q3227879
OL467221W,Q3497225
OL2071387W,Q3228178
OL14990802W,Q3520291
OL20796151W,Q3520291
OL1847100W,Q3521228
OL510446W,Q3521397
OL15686578W,Q3523959
OL58705W,Q3518604
OL8889822M,Q3535595
OL5724849W,Q3522305
OL46377W,Q440784
OL14917539W,Q462454
OL4088396W,Q427110
OL257914W,Q431927
OL679360W,Q430514
OL893515W,Q401619
OL893502W,Q437353
OL15119769W,Q462454
OL5734771W,Q441055
OL14917748W,Q435722
OL27252W,Q466103
OL7502060M,Q437365
OL10834W,Q459303
OL893516W,Q437365
OL46108W,Q466196
OL8368450W,Q901913
OL46302W,Q932592
OL59681W,Q929821
OL59741W,Q929821
OL27251W,Q900595
OL20102714W,Q2261855
OL59847W,Q2261855
OL100779W,Q467139
OL14903463W,Q2253255
OL56907W,Q2253255
OL20101455W,Q467225
OL58708W,Q467225
OL58717W,Q467225
OL56898W,Q942972
OL166497W,Q944991
OL59038W,Q951587
OL81659W,Q963586
OL81630W,Q466790
OL59715W,Q945382
OL1975705W,Q2292400
OL2465670W,Q2300209
OL49581W,Q2291295
OL49651W,Q2291295
OL17379W,Q2283166
OL59694W,Q2274025
OL98485W,Q2294155
OL15014715W,Q2295976
OL14951012W,Q2301398
OL16419954W,Q2269230
OL18167529W,Q2269230
OL26644543M,Q2269230
OL2737408W,Q2268557
OL510428W,Q2295267
OL56885W,Q3149129
OL60939W,Q2377008
OL24674612M,Q2363504
OL58710W,Q2363504
OL14871719W,Q3120527
OL17800711W,Q3120527
OL22216239M,Q2362526
OL510450W,Q2391947
OL49672W,Q3142271
OL506264W,Q3135306
OL2697649W,Q3109139
OL115336W,Q2364488
OL58695W,Q3088925
OL49666W,Q3089022
OL5724839W,Q3090152
OL17739660W,Q2319431
OL27272601M,Q2415562
OL16027965W,Q2350387
OL22398682M,Q3100824
OL47517W,Q3157123
OL16030497W,Q2335394
OL22453117W,Q2335394
OL17375W,Q3140584
OL92471W,Q7077188
OL5813993W,Q6787788
OL8470526W,Q6736735
OL16114008W,Q6535598
OL1840476W,Q6411423
OL102594W,Q7050019
OL80856W,Q6725637
OL15222260W,Q7094153
OL492354W,Q6980071
OL15843805W,Q6555310
OL5960837W,Q6549446
OL98027W,Q6353404
OL451054W,Q6780592
OL88107W,Q6679480
OL14871723W,Q7091899
OL11758183M,Q6863847
OL17664091W,Q6842848
OL7949892M,Q6842848
OL14871218W,Q7020012
OL7923834W,Q6510209
OL16062670W,Q6835650
OL54951W,Q6544767
OL482571W,Q6690221
OL17699438W,Q6303649
OL114302W,Q6426705
OL72862W,Q6749555
OL13978W,Q7339610
OL74293W,Q7332458
OL1847204W,Q7246870
OL16068305W,Q7557345
OL8053692M,Q7557345
OL10682891M,Q7600780
OL15005203W,Q7600780
OL17666729W,Q7167954
OL77886W,Q7100063
OL16564627W,Q7306263
OL8367120W,Q7691141
OL10587157W,Q7100118
OL15691631W,Q7100118
OL6449907W,Q7100118
OL7024330W,Q7100118
OL15420221W,Q7601555
OL12284323W,Q7127548
OL2089645W,Q7679827
OL2753431W,Q7291925
OL115339W,Q7701574
OL8195543M,Q7455078
OL10570487W,Q7602353
OL16080776W,Q7702704
OL15856405W,Q7209119
OL17742990W,Q7102801
OL7663110M,Q7102801
OL72855W,Q7334688
OL5725224W,Q7103952
OL60599W,Q7334502
OL1973740W,Q7621583
OL2465692W,Q7426767
OL16981473W,Q7539916
OL5734644W,Q7713709
OL16514W,Q7734817
OL90528W,Q7718935
OL1863608W,Q7726654
OL4001675W,Q7714290
OL60936W,Q7726969
OL1920281W,Q7722439
OL3521954W,Q7728249
OL156107W,Q7728917
OL14924205W,Q7733416
OL3922351W,Q7730855
OL166485W,Q7732903
OL1955941W,Q1751870
OL257943W,Q1751870
OL7826547M,Q1751870
OL17826971W,Q1706316
OL14871877W,Q1748402
OL5724837W,Q1759977
OL60590W,Q1751584
OL9822675M,Q1751584
OL15141696W,Q1760824
OL74664W,Q1758811
OL15052096W,Q1760447
OL1955939W,Q1764445
OL59864W,Q2008211
OL2465690W,Q2027568
OL2071482W,Q2910240
OL257948W,Q1764445
OL18707693M,Q1989233
OL1888050W,Q1928866
OL1963268W,Q1798059
OL5734718W,Q1865620
OL49673W,Q2915294
OL49634W,Q2915310
OL90571W,Q1968531
OL1852683W,Q2113191
OL13983W,Q2077422
OL29244771W,Q1798059
OL49633W,Q2915291
OL59800W,Q2008211
OL1955940W,Q2915854
OL49569W,Q2915295
OL8339326W,Q3016630
OL2465683W,Q3066138
OL17738180W,Q3016940
OL108300W,Q3015377
OL5734712W,Q3015406
OL115356W,Q3009663
OL675774W,Q4352956
OL73347W,Q4340237
OL24469277W,Q3006304
OL2465688W,Q3006304
OL15394491W,Q3005722
OL15456503W,Q3005722
OL17029W,Q3062494
OL1960655W,Q2916242
OL1840414W,Q3063803
OL1860109W,Q4354440
OL3909679W,Q4359794
OL2425042W,Q4354234
OL5724844W,Q3063278
OL1840409W,Q3063449
OL26128880M,Q2976056
OL2163623W,Q721
OL82536W,Q47598
OL38483W,Q4424499
OL16298967W,Q4631472
OL33884887W,Q4676501
OL1955906W,Q28306
OL90533W,Q4658233
OL80871W,Q4501974
OL108301W,Q4676501
OL8368444W,Q4691060
OL12599350M,Q4677090
OL38495W,Q4398917
OL2636670W,Q4691072
OL82560W,Q46751
OL98454W,Q41359
OL98482W,Q41359
OL15545569W,Q4659971
OL1882196W,Q4656557
OL2950953W,Q741013
OL56909W,Q3655248
OL17373W,Q1219119
OL19623079W,Q3627649
OL16116752W,Q3563140
OL60571W,Q3790023
OL14955779W,Q3818561
OL9724214M,Q3818561
OL74406W,Q3686127
OL13992W,Q734976
OL15346065W,Q734976
OL15105193W,Q729783
OL16556W,Q3800868
OL47516W,Q3627649
OL4720160W,Q1212645
OL5724833W,Q3736382
OL549273W,Q3822355
OL56835W,Q3706366
OL115341W,Q3565822
OL55239W,Q737910
OL2636675W,Q1212160
OL16152981W,Q723020
OL17417W,Q741222
OL155506W,Q1448428
OL72858W,Q779016
OL46881W,Q756866
OL46172W,Q783533
OL5703422W,Q1474920
OL38485W,Q768389
OL38501W,Q768389
OL49617W,Q816016
OL49676W,Q816016
OL17403W,Q786025
OL17742259W,Q786025
OL510405W,Q1505793
OL510451W,Q1505793
OL3521966W,Q1416458
OL81631W,Q742226
OL8339324W,Q803910
OL2816487W,Q782075
OL8048087W,Q764902
OL675783W,Q1541914
OL11652084W,Q1608505
OL2172403W,Q749783
OL2172404W,Q749783
OL5730195W,Q1605815
OL5730223W,Q1605815
OL510440W,Q2738255
OL108288W,Q2894715
OL108302W,Q2894715
OL73379W,Q2737699
OL2626638W,Q1659714
OL66835W,Q2749482
OL14951010W,Q2906615
OL56902W,Q2759020
OL482575W,Q2906934
OL84109W,Q1660753
OL2465675W,Q2870553
OL49663W,Q2746500
OL59706W,Q1641639
OL56890W,Q2884527
OL56904W,Q2884527
OL14858394W,Q2891748
OL5731693W,Q2901992
OL166496W,Q1623320
OL893523W,Q2741407
OL59695W,Q2870228
OL49538W,Q3234544
OL1960654W,Q3235720
OL1819365W,Q3231611
OL15936512W,Q3906523
OL35623W,Q3823447
OL11369800W,Q3235534
OL11334383W,Q3234516
OL1888049W,Q3233629
OL2643429W,Q3838395
OL49674W,Q3234507
OL14867268W,Q3236485
OL10673102W,Q3231919
OL73375W,Q3235696
OL7547351M,Q3968388
OL103193W,Q4198261
OL74402W,Q3929314
OL7665675M,Q4040445
OL15570296W,Q3997517
OL92497W,Q4020470
OL11291679W,Q3939312
OL3909677W,Q4180242
OL464306W,Q7752464
OL5734646W,Q7745634
OL16646248W,Q7759446
OL16069897W,Q7751049
OL175690W,Q7758618
OL16638743W,Q7742712
OL17717215W,Q7741197
OL17740971W,Q7744389
OL8053439M,Q7744389
OL7525691M,Q7739431
OL16799662W,Q7745946
OL14992072W,Q7753234
OL24266767W,Q7736268
OL5734645W,Q7736268
OL2581167W,Q7737067
OL78624W,Q7745810
OL3272964W,Q7747544
OL1960638W,Q7750537
OL92493W,Q7734828
OL14851918W,Q7747225
OL15078170W,Q7759106
OL58709W,Q7757993
OL16087024W,Q7752150
OL8514782W,Q7751615
OL72837W,Q7833847
OL26443093W,Q114310172
OL15092185W,Q7883104
OL24164954W,Q110552625
OL56826W,Q7844314
OL8718822W,Q7919226
OL1863613W,Q7810889
OL13787W,Q7820291
OL38489W,Q7767840
OL60609W,Q7843661
OL24188852W,Q109942843
OL14851925W,Q7765299
OL24731706W,Q112274439
OL10587211W,Q7776103
OL24183293W,Q109255097
OL15844970W,Q7762126
OL25466796W,Q111442660
OL175687W,Q7798123
OL9891555M,Q7798123
OL24937980M,Q124022063
OL25012934W,Q117062613
OL20240980W,Q122452562
OL31115154W,Q120482895
OL27398871W,Q122834958
OL26522636W,Q123300220
OL15861345W,Q15035019
OL1988288W,Q8059676
OL16810035W,Q15033305
OL271152W,Q9183865
OL461307W,Q9183865
OL5738576W,Q13512152
OL16804661W,Q14548336
OL3521943W,Q15033985
OL467291W,Q15033625
OL17733973W,Q7978347
OL22704949W,Q15035002
OL8878597W,Q15032905
OL1855978W,Q15034311
OL5841565W,Q15035002
OL5734349W,Q12737230
OL15155477W,Q7939592
OL10683442M,Q7962593
OL19919061W,Q7961182
OL2817028W,Q15034210
OL16544735W,Q7960989
OL35627W,Q8000801
OL5734642W,Q8073247
OL16701646W,Q15035527
OL17062644W,Q17001721
OL17046610W,Q16204596
OL17268007W,Q16961640
OL34694892W,Q16932120
OL17078738W,Q17512402
OL17062642W,Q17989172
OL4088312W,Q16271791
OL17345493W,Q20992497
OL17202418W,Q20645702
OL16817571W,Q19874187
OL19912869W,Q20058615
OL17829905W,Q19902777
OL17357379W,Q29469803
OL25935301M,Q29469803
OL17363125W,Q25217632
OL25034040W,Q27957817
OL28171187W,Q39058554
OL20734480W,Q29344605
OL19340214W,Q29344605
OL20048398W,Q29344605
OL17881901W,Q39058554
OL17842279W,Q30337352
OL26883649M,Q30068660
OL19982983W,Q24255737
OL17762236W,Q30608684
OL34644745M,Q41094135
